,http://127.0.0.1:8000/sample/one,http://127.0.0.1:8000/sample/two,http://127.0.0.1:8000/sample/nine,http://127.0.0.1:8000/sample/five,http://127.0.0.1:8000/sample/six,http://127.0.0.1:8000/sample/three,http://127.0.0.1:8000/sample/eight,http://127.0.0.1:8000/sample/seven,http://127.0.0.1:8000/sample/four,http://127.0.0.1:8000/sample/ten
1800,0.0,0.0,0.0,0.0,0.0,0.07519597035821918,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
able,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10860434357762253
acceptance,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
accompanying,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accomplish,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accordance,0.0,0.0,0.11385477127316877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achieve,0.0,0.0,0.0,0.0,0.0,0.07519597035821918,0.0,0.0,0.0,0.0
act,0.0,0.0,0.11385477127316877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action,0.0,0.09122934103323312,0.19357391470330193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210353161792445,0.0
actual,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actually,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210353161792445,0.0
add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10860434357762253
addl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
address,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
addressing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
administrator,0.0,0.10731710181778423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agreement,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
aid,0.0,0.0,0.0,0.11899022199853543,0.0,0.0,0.11809404930605168,0.0,0.0,0.0
algol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
algorithm,0.23689610383099827,0.0,0.0,0.0,0.0,0.05592546047493713,0.10331833832002933,0.0,0.0,0.0
almost,0.0,0.0,0.11385477127316877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
along,0.0,0.0,0.0,0.0,0.0,0.0,0.13891924429044444,0.0,0.0,0.0
also,0.0,0.0,0.0,0.09255447885861577,0.0465195865468892,0.0,0.0,0.0,0.08212928852444223,0.17953080195925245
alternatively,0.0,0.09122934103323312,0.0,0.0,0.0,0.0,0.11809404930605168,0.0,0.0,0.0
analysis,0.05922402595774957,0.0,0.0,0.20820476705577892,0.1046475524466161,0.0,0.0,0.0,0.0,0.0
analyst,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antiquity,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
app,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12827085658299292,0.0,0.0
appearance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
application,0.04274824303349165,0.05761084953153035,0.061120455036164145,0.07514170000179904,0.0,0.0,0.07457577165510475,0.34429708279070875,0.0,0.0
appraisal,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
apps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25654171316598584,0.0,0.0
architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10860434357762253
area,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
argument,0.0,0.0,0.0,0.0,0.21105970836026747,0.0,0.0,0.0,0.0,0.0
argumentative,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
artifact,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembler,0.0,0.07096115944762041,0.0,0.0,0.0,0.0,0.09185740648470947,0.0,0.04106464426222112,0.3949677643103554
assembly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05279367565255019,0.09232361413147518
automate,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automatic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
basic,0.0,0.0,0.0,0.0,0.0,0.07519597035821918,0.0,0.0,0.0,0.0
basis,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
batch,0.0,0.0,0.11385477127316877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
become,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210353161792445,0.0
behavior,0.0,0.0,0.0,0.0,0.0,0.15039194071643835,0.0,0.0,0.0,0.0
better,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
binary,0.0,0.09122934103323312,0.0,0.0,0.0,0.0,0.0,0.0,0.05279367565255019,0.0
bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
boundary,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
box,0.0,0.0,0.0,0.0,0.0,0.07519597035821918,0.0,0.0,0.0,0.0
broadly,0.0,0.0,0.0,0.0,0.14070647224017832,0.0,0.0,0.0,0.0,0.0
bug,0.0,0.0,0.0,0.13997345179645462,0.0,0.0,0.0,0.0,0.0,0.0
build,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
building,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10904194691824569,0.05279367565255019,0.0
bundled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12827085658299292,0.0,0.0
calculates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
calculation,0.0,0.0,0.0,0.0,0.0,0.0,0.11809404930605168,0.0,0.0,0.04616180706573759
called,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10904194691824569,0.0,0.09232361413147518
carried,0.0,0.0,0.11385477127316877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12827085658299292,0.0,0.0
case,0.0,0.0,0.09678695735165097,0.0,0.0,0.0,0.0,0.0,0.0,0.04616180706573759
categorized,0.0,0.0,0.0,0.0,0.0,0.0,0.13891924429044444,0.0,0.0,0.0
causing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210353161792445,0.0
central,0.06769374300129932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05279367565255019,0.0
century,0.0,0.0,0.0,0.0,0.14070647224017832,0.0,0.0,0.0,0.0,0.0
chained,0.0,0.0,0.11385477127316877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18631059485377335,0.0
chosen,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
classification,0.0,0.0,0.0,0.0,0.05980667817221628,0.0,0.0,0.10904194691824569,0.0,0.0
closer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210353161792445,0.0
cobol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05430217178881126
code,0.21374121516745828,0.5184976457837732,0.0,0.0,0.0,0.04036731947010966,0.1491515433102095,0.0,0.0333389287896701,0.11660375448723088
coded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12827085658299292,0.0,0.0
coding,0.15926227741688867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cognitive,0.0,0.0,0.0,0.0,0.07035323612008916,0.0,0.0,0.0,0.0,0.0
collection,0.0,0.07981489310403296,0.0,0.0,0.0,0.0,0.20663667664005866,0.0,0.04618822772426146,0.0
collective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12827085658299292,0.0,0.0
collectively,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12827085658299292,0.0,0.0
combination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05279367565255019,0.04616180706573759
combine,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
command,0.0,0.0,0.22770954254633755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comment,0.0,0.10731710181778423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
common,0.0,0.0,0.0,0.0,0.0,0.06392344470672275,0.0,0.0,0.0,0.04616180706573759
commonly,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compiler,0.0,0.07981489310403296,0.0,0.0,0.0,0.0,0.10331833832002933,0.0,0.04618822772426146,0.0
complex,0.07963113870844434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component,0.0,0.0,0.0,0.0,0.0,0.07519597035821918,0.0,0.0,0.0,0.0
comprising,0.0,0.0,0.0,0.0,0.0,0.07519597035821918,0.0,0.0,0.0,0.0
computation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210353161792445,0.0
computer,0.12898916110828815,0.13037685220160747,0.1844257368775352,0.11336682118010122,0.028490126650108097,0.09135369617226602,0.4500520041143549,0.207777390272673,0.30179208442269756,0.0
